date;close;ret_m;mm3;mm6;mm12;vol3;vol6;momentum3;volrel;close_plus1
01/01/2020;9349,10;0,30;8030,70;8520,57;7818,50;0,25;0,18;0,02;1,13;9349,10
01/02/2020;8543,70;-0,09;8363,07;8345,45;8212,43;0,21;0,18;0,13;1,08;8543,70
01/03/2020;6412,50;-0,25;8101,77;8033,48;8404,94;0,28;0,20;-0,11;2,12;6412,50
01/04/2020;8629,00;0,35;7861,73;7946,22;8680,63;0,31;0,25;-0,08;1,24;8629,00
01/05/2020;9454,80;0,10;8165,43;8264,25;8755,33;0,30;0,23;0,11;1,04;9454,80
01/06/2020;9135,40;-0,03;9073,07;8587,42;8615,07;0,19;0,23;0,42;0,37;9135,40
01/07/2020;11333,40;0,24;9974,53;8918,13;8719,35;0,14;0,22;0,31;0,43;11333,40
01/08/2020;11644,20;0,03;10704,33;9434,88;8890,17;0,14;0,21;0,23;0,69;11644,20
01/09/2020;10776,10;-0,07;11251,23;10162,15;9097,82;0,16;0,16;0,18;5,73;10776,10
01/10/2020;13797,30;0,28;12072,53;11023,53;9484,88;0,18;0,15;0,22;0,06;13797,30
01/11/2020;19698,10;0,43;14757,17;12730,75;10497,50;0,26;0,20;0,69;0,12;19698,10
01/12/2020;28949,40;0,47;20814,93;16033,08;12310,25;0,10;0,22;1,69;0,13;28949,40
01/01/2021;33108,10;0,14;27251,87;19662,20;14290,17;0,18;0,22;1,40;1,60;33108,10
01/02/2021;45164,00;0,36;35740,50;25248,83;17341,86;0,17;0,20;1,29;0,90;45164,00
01/03/2021;58763,70;0,30;45678,60;33246,77;21704,46;0,11;0,12;1,03;0,68;58763,70
01/04/2021;57720,30;-0,02;53882,67;40567,27;25795,40;0,20;0,19;0,74;0,71;57720,30
01/05/2021;37298,60;-0,35;51260,87;43500,68;28115,72;0,33;0,30;-0,17;1,60;37298,60
01/06/2021;35026,90;-0,06;43348,60;44513,60;30273,34;0,18;0,26;-0,40;1,10;35026,90
01/07/2021;41553,70;0,19;37959,73;45921,20;32791,70;0,27;0,27;-0,28;0,59;41553,70
01/08/2021;47130,40;0,13;41237,00;46248,93;35748,88;0,13;0,23;0,26;0,54;47130,40
01/09/2021;43823,30;-0,07;44169,13;43758,87;38502,82;0,14;0,19;0,25;0,76;43823,30
01/10/2021;61309,60;0,40;50754,43;44357,08;42462,18;0,24;0,26;0,48;0,96;61309,60
01/11/2021;56882,90;-0,07;54005,27;47621,13;45560,91;0,27;0,19;0,21;0,85;56882,90
01/12/2021;46219,50;-0,19;54804,00;49486,57;47000,08;0,31;0,22;0,05;0,91;46219,50
01/01/2022;38498,60;-0,17;47200,33;48977,38;47449,29;0,06;0,22;-0,37;1,03;38498,60
01/02/2022;43188,20;0,12;42635,43;48320,35;47284,64;0,17;0,22;-0,24;0,94;43188,20
01/03/2022;45525,00;0,05;42403,93;48603,97;46181,42;0,15;0,22;-0,02;22800,00;45525,00
01/04/2022;37650,00;-0,17;42121,07;44660,70;44508,89;0,15;0,13;-0,02;0,83;37650,00
01/05/2022;31793,40;-0,16;38322,80;40479,12;44050,13;0,13;0,14;-0,26;0,25;31793,40
01/06/2022;19926,60;-0,37;29790,00;36096,97;42791,77;0,12;0,18;-0,56;0,00;19926,60
01/07/2022;23303,40;0,17;25007,80;33564,43;41270,91;0,27;0,21;-0,38;0,00;23303,40
01/08/2022;20043,90;-0,14;21091,30;29707,05;39013,70;0,27;0,19;-0,37;0,00;20043,90
01/09/2022;19423,00;-0,03;20923,43;25356,72;36980,34;0,16;0,18;-0,03;2,03;19423,00
01/10/2022;20496,30;0,06;19987,73;22497,77;33579,23;0,10;0,19;-0,12;1,07;20496,30
01/11/2022;17163,90;-0,16;19027,73;20059,52;30269,32;0,11;0,19;-0,14;1,20;17163,90
01/12/2022;16537,40;-0,04;18065,87;19494,65;27795,81;0,11;0,12;-0,15;0,67;16537,40
01/01/2023;23125,10;0,40;18942,13;19464,93;26514,68;0,29;0,20;0,13;1,07;23125,10
01/02/2023;23130,50;0,00;20931,00;19979,37;24843,21;0,24;0,19;0,35;1,05;23130,50
01/03/2023;28473,70;0,23;24909,77;21487,82;23422,27;0,20;0,20;0,72;1,25;28473,70
01/04/2023;29252,10;0,03;26952,10;22947,12;22722,44;0,13;0,20;0,26;0,21;29252,10
01/05/2023;27216,10;-0,07;28313,97;24622,48;22341,00;0,15;0,18;0,18;0,23;27216,10
01/06/2023;30472,90;0,12;28980,37;26945,07;23219,86;0,09;0,17;0,07;0,38;30472,90
01/07/2023;29232,40;-0,04;28973,80;27962,95;23713,94;0,10;0,11;0,00;0,68;29232,40
01/08/2023;25937,30;-0,11;28547,53;28430,75;24205,06;0,12;0,13;-0,05;0,86;25937,30
01/09/2023;26962,70;0,04;27377,47;28178,92;24833,37;0,08;0,08;-0,12;0,79;26962,70
01/10/2023;34650,60;0,29;29183,53;29078,67;26012,89;0,20;0,15;0,19;1,30;34650,60
01/11/2023;37712,90;0,09;33108,73;30828,13;27725,31;0,13;0,14;0,45;1,08;37712,90
01/12/2023;42272,50;0,12;38212,00;32794,73;29869,90;0,11;0,14;0,57;1,15;
